Reporter,type_Reporter,Partner,type_Partner,Flow,Item_code,type_Item,Year,Reported_value,Final_value,Final_value_methodology,Balanced_value
AR,c,WL,g,X,SE,s,2024,13.899,13.899,R_IMF,36.527878
AR,c,WL,g,X,SF,s,2024,53.9171,53.9171,R_IMF,167.580324
AR,c,WL,g,X,SG,s,2024,185.3701,185.3701,R_IMF,459.987098
AR,c,WL,g,X,SH,s,2024,280.3032,280.3032,R_IMF,326.343187
AR,c,WL,g,X,SI,s,2024,2810.0263,2810.0263,R_IMF,1535.541803
AR,c,WL,g,X,SJ,s,2024,5916.5358,5916.5358,R_IMF,4050.711499
AR,c,WL,g,X,SK,s,2024,369.6369,369.6369,R_IMF,569.357345
AR,c,WL,g,X,SL,s,2024,244.6542,244.6542,R_IMF,238.688782
BR,c,WL,g,X,S,s,2005,14762.6908,14762.6908,R_NAT,14428.678639
BR,c,WL,g,X,SA,s,2005,0,0,R_NAT,161.490191
BR,c,WL,g,X,SB,s,2005,6.4378,6.4378,R_NAT,424.719487
BR,c,WL,g,X,SC,s,2005,2605.6235,2605.6235,R_NAT,4216.887787
BR,c,WL,g,X,SD,s,2005,3861.437,3861.437,R_NAT,3712.265632
BR,c,WL,g,X,SE,s,2005,8.034,8.034,R_NAT,166.328705
BR,c,WL,g,X,SF,s,2005,134.152,134.152,R_NAT,236.862734
BR,c,WL,g,X,SG,s,2005,507.167,507.167,R_NAT,531.015176
BR,c,WL,g,X,SH,s,2005,101.66,101.66,R_NAT,130.409356
BR,c,WL,g,X,SI,s,2005,319.362,319.362,R_NAT,496.92254
BR,c,WL,g,X,SJ,s,2005,5971.2005,5971.2005,R_NAT,3744.954985
BR,c,WL,g,X,SK,s,2005,55.797,55.797,R_NAT,81.359291
BR,c,WL,g,X,SL,s,2005,1191.82,1191.82,R_NAT,525.462755
BR,c,WL,g,X,S,s,2006,17730.5303,17730.5303,R_NAT,17988.776674
BR,c,WL,g,X,SA,s,2006,0,0,R_NAT,52.632194
BR,c,WL,g,X,SB,s,2006,8.0811,8.0811,R_NAT,621.04146
BR,c,WL,g,X,SC,s,2006,2797.8112,2797.8112,R_NAT,5224.159328
BR,c,WL,g,X,SD,s,2006,4315.885,4315.885,R_NAT,4151.962994
BR,c,WL,g,X,SE,s,2006,22.552,22.552,R_NAT,336.575051
BR,c,WL,g,X,SF,s,2006,324.459,324.459,R_NAT,370.335212
BR,c,WL,g,X,SG,s,2006,751.0355,751.0355,R_NAT,756.92073
BR,c,WL,g,X,SH,s,2006,150.307,150.307,R_NAT,190.785126
BR,c,WL,g,X,SI,s,2006,291.148,291.148,R_NAT,672.034623
BR,c,WL,g,X,SJ,s,2006,7471.2775,7471.2775,R_NAT,4749.280172
BR,c,WL,g,X,SK,s,2006,81.251,81.251,R_NAT,189.602417
BR,c,WL,g,X,SL,s,2006,1516.723,1516.723,R_NAT,673.447365
BR,c,WL,g,X,S,s,2007,21824.0002,21824.0002,R_NAT,21680.693201
BR,c,WL,g,X,SA,s,2007,0,0,R_NAT,49.06311
BR,c,WL,g,X,SB,s,2007,7.745,7.745,R_NAT,807.008204
BR,c,WL,g,X,SC,s,2007,3215.4127,3215.4127,R_NAT,6284.839618
BR,c,WL,g,X,SD,s,2007,4952.965,4952.965,R_NAT,4829.914072
BR,c,WL,g,X,SE,s,2007,16.624,16.624,R_NAT,455.2361
BR,c,WL,g,X,SF,s,2007,542.818,542.818,R_NAT,459.533669
BR,c,WL,g,X,SG,s,2007,1090.0512,1090.0512,R_NAT,976.754337
BR,c,WL,g,X,SH,s,2007,319.41,319.41,R_NAT,210.725776
BR,c,WL,g,X,SI,s,2007,419.438,419.438,R_NAT,660.174794
BR,c,WL,g,X,SJ,s,2007,9846.6833,9846.6833,R_NAT,6060.064719
BR,c,WL,g,X,SK,s,2007,73.306,73.306,R_NAT,223.456307
BR,c,WL,g,X,SL,s,2007,1339.547,1339.547,R_NAT,663.922494
BR,c,WL,g,X,S,s,2008,27985.434,27985.434,R_NAT,28060.429172
BR,c,WL,g,X,SA,s,2008,0,0,R_NAT,59.470414
BR,c,WL,g,X,SB,s,2008,12.2793,12.2793,R_NAT,902.155654
BR,c,WL,g,X,SC,s,2008,4512.9533,4512.9533,R_NAT,7844.383672
BR,c,WL,g,X,SD,s,2008,5785.031,5785.031,R_NAT,5674.816392
BR,c,WL,g,X,SE,s,2008,22.856,22.856,R_NAT,467.035363
BR,c,WL,g,X,SF,s,2008,828.094,828.094,R_NAT,582.663329
BR,c,WL,g,X,SG,s,2008,1237.5812,1237.5812,R_NAT,1095.426114
BR,c,WL,g,X,SH,s,2008,465.444,465.444,R_NAT,305.735411
BR,c,WL,g,X,SI,s,2008,640.648,640.648,R_NAT,924.35977
BR,c,WL,g,X,SJ,s,2008,12765.6922,12765.6922,R_NAT,9081.698788
BR,c,WL,g,X,SK,s,2008,86.386,86.386,R_NAT,305.141689
BR,c,WL,g,X,SL,s,2008,1628.469,1628.469,R_NAT,817.542577
BR,c,WL,g,X,S,s,2009,25195.3083,25195.3083,R_NAT,25651.726208
BR,c,WL,g,X,SA,s,2009,0,0,R_NAT,44.944061
BR,c,WL,g,X,SB,s,2009,20.6051,20.6051,R_NAT,765.016221
BR,c,WL,g,X,SC,s,2009,3152.5744,3152.5744,R_NAT,6137.25897
BR,c,WL,g,X,SD,s,2009,5304.5608,5304.5608,R_NAT,5194.690177
BR,c,WL,g,X,SE,s,2009,14.2748,14.2748,R_NAT,691.126137
BR,c,WL,g,X,SF,s,2009,372.6231,372.6231,R_NAT,437.773109
BR,c,WL,g,X,SG,s,2009,1570.3909,1570.3909,R_NAT,1266.240833
BR,c,WL,g,X,SH,s,2009,433.8078,433.8078,R_NAT,384.913151
BR,c,WL,g,X,SI,s,2009,537.9061,537.9061,R_NAT,860.138624
BR,c,WL,g,X,SJ,s,2009,12224.9497,12224.9497,R_NAT,8725.161377
BR,c,WL,g,X,SK,s,2009,80.4282,80.4282,R_NAT,377.16868
BR,c,WL,g,X,SL,s,2009,1483.1874,1483.1874,R_NAT,767.294868
BR,c,WL,g,X,S,s,2010,30060.8487,30060.8487,R_NAT,28934.225125
